date,open,close,high,low,volume
2022-10-14,4685.18,4762.02,4782.71,4683.87,626862093.0
2022-10-17,4740.09,4790.52,4793.95,4734.58,602590157.0
2022-10-18,4809.62,4795.51,4829.01,4778.36,590007750.0
2022-10-19,4782.51,4736.7,4796.91,4736.7,554995434.0
2022-10-20,4706.83,4711.96,4775.9,4668.57,577091279.0
2022-10-21,4713.37,4706.91,4735.65,4688.88,545692893.0
2022-10-24,4703.67,4613.74,4758.13,4591.01,658115085.0
2022-10-25,4594.61,4603.81,4646.64,4543.67,602413763.0
2022-10-26,4608.1,4666.43,4710.43,4608.1,657919629.0
2022-10-27,4675.36,4640.72,4697.23,4640.72,645504638.0
2022-10-28,4608.6,4503.14,4619.83,4489.78,684880097.0
2022-10-31,4465.67,4500.13,4547.81,4465.67,651773160.0
2022-11-01,4510.69,4634.42,4634.42,4506.37,696062327.0
2022-11-02,4623.48,4692.07,4719.9,4616.06,740240098.0
2022-11-03,4651.92,4683.03,4695.13,4647.04,612429708.0
2022-11-04,4683.14,4808.23,4822.57,4683.14,742802752.0
2022-11-07,4801.56,4820.8,4839.16,4782.97,722941108.0
2022-11-08,4818.6,4800.07,4820.7,4767.56,610154875.0
2022-11-09,4801.92,4774.9,4821.06,4771.82,579211553.0
2022-11-10,4744.24,4740.97,4765.53,4719.89,640200034.0
2022-11-11,4855.55,4817.24,4875.33,4801.85,920344822.0
2022-11-14,4835.0,4810.85,4864.22,4794.55,813409810.0
2022-11-15,4806.01,4905.34,4905.34,4795.05,772766808.0
2022-11-16,4902.61,4872.57,4923.35,4864.18,707128543.0
2022-11-17,4858.29,4869.63,4869.63,4817.23,668759448.0
2022-11-18,4872.38,4842.81,4895.43,4840.49,721601094.0
2022-11-21,4809.4,4831.03,4831.03,4778.43,621233473.0
2022-11-22,4825.82,4798.73,4857.72,4781.08,698490847.0
2022-11-23,4789.05,4792.97,4813.06,4743.44,671381134.0
2022-11-24,4807.42,4789.02,4823.19,4777.25,591606493.0
2022-11-25,4778.76,4777.88,4796.68,4760.37,630396525.0
2022-11-28,4700.43,4743.22,4744.81,4675.54,627695707.0
2022-11-29,4769.39,4855.44,4861.2,4769.39,803672165.0
2022-11-30,4847.2,4857.84,4873.07,4834.49,793548504.0
2022-12-01,4920.56,4902.41,4939.31,4900.89,814210866.0
2022-12-02,4892.45,4893.82,4919.72,4884.29,681873206.0
2022-12-05,4928.52,4956.84,4957.23,4919.25,874812716.0
2022-12-06,4938.67,4963.62,4984.87,4932.54,762862951.0
2022-12-07,4950.69,4957.98,4994.03,4940.23,731336339.0
2022-12-08,4951.37,4947.63,4963.44,4932.56,686247955.0
2022-12-09,4949.01,4973.35,4979.7,4927.88,774734864.0
2022-12-12,4956.19,4936.63,4956.95,4933.2,720505463.0
2022-12-13,4936.13,4917.09,4938.46,4911.89,654496431.0
2022-12-14,4922.0,4913.74,4936.21,4902.37,623565355.0
2022-12-15,4910.57,4919.81,4926.73,4894.63,588712692.0
2022-12-16,4895.77,4897.95,4913.62,4875.35,619214589.0
2022-12-19,4894.25,4806.92,4906.14,4789.09,639936735.0
2022-12-20,4794.17,4749.95,4794.45,4731.54,508034815.0
2022-12-21,4755.77,4733.77,4767.19,4718.1,469690433.0
2022-12-22,4760.66,4703.35,4771.12,4688.58,537709244.0
2022-12-23,4677.13,4689.82,4717.15,4665.07,476030079.0
2022-12-26,4692.3,4739.47,4746.39,4692.3,491473739.0
2022-12-27,4755.27,4782.14,4785.19,4742.94,531642398.0
2022-12-28,4766.94,4751.54,4772.06,4742.3,533062804.0
2022-12-29,4734.92,4737.12,4764.57,4725.03,503557242.0
2022-12-30,4755.12,4756.62,4767.52,4749.88,505211150.0
2023-01-03,4753.34,4815.92,4821.74,4733.14,638612619.0
2023-01-04,4814.74,4821.47,4834.23,4796.96,647843086.0
2023-01-05,4836.47,4887.54,4892.75,4831.67,629981118.0
2023-01-06,4886.29,4895.24,4921.97,4883.86,627800935.0
2023-01-09,4913.28,4928.5,4941.65,4911.97,587496440.0
2023-01-10,4931.53,4932.2,4941.3,4912.81,543848705.0
2023-01-11,4934.72,4909.22,4955.37,4905.38,552540728.0
