date,star,star_low,star_high,status
2025-03-20,4.8,4.8,4.8,exact
2025-03-21,4.8,4.8,4.8,exact
2025-03-24,4.8,4.8,4.8,exact
2025-03-25,4.8,4.8,4.8,exact
2025-03-26,4.8,4.8,4.8,exact
2025-03-27,4.8,4.8,4.8,exact
2025-03-28,4.9,4.9,4.9,exact
2025-03-31,5.0,5.0,5.0,exact
2025-04-01,5.0,5.0,5.0,exact
2025-04-02,5.0,5.0,5.0,exact
2025-04-03,5.0,5.0,5.0,exact
2025-04-07,5.4,5.4,5.4,exact
2025-04-08,5.3,5.3,5.3,exact
2025-04-09,5.2,5.2,5.2,exact
2025-04-10,5.1,5.1,5.1,exact
2025-04-11,5.1,5.1,5.1,exact
2025-04-14,5.1,5.1,5.1,exact
2025-04-15,5.1,5.1,5.1,exact
2025-04-16,5.1,5.1,5.1,exact
2025-04-17,5.1,5.1,5.1,exact
2025-04-18,5.1,5.1,5.1,exact
2025-04-21,5.0,5.0,5.0,exact
2025-04-22,5.0,5.0,5.0,exact
2025-04-23,5.0,5.0,5.0,exact
2025-04-24,5.0,5.0,5.0,exact
2025-04-25,5.0,5.0,5.0,exact
2025-04-28,5.0,5.0,5.0,exact
2025-04-29,5.0,5.0,5.0,exact
2025-04-30,5.1,5.1,5.1,exact
2025-05-06,5.0,5.0,5.0,exact
2025-05-07,5.0,5.0,5.0,exact
2025-05-08,5.0,5.0,5.0,exact
2025-05-09,4.9,4.9,4.9,exact
2025-05-12,4.9,4.9,4.9,exact
2025-05-13,4.9,4.9,4.9,exact
2025-05-14,4.9,4.9,4.9,exact
2025-05-15,4.9,4.9,4.9,exact
2025-05-16,4.9,4.9,4.9,exact
2025-05-19,4.9,4.9,4.9,exact
2025-05-20,4.9,4.9,4.9,exact
2025-05-21,4.9,4.9,4.9,exact
2025-05-22,4.9,4.9,4.9,exact
2025-05-23,4.9,4.9,4.9,exact
2025-05-26,4.9,4.9,4.9,exact
2025-05-27,4.9,4.9,4.9,exact
2025-05-28,4.9,4.9,4.9,exact
2025-05-29,4.9,4.9,4.9,exact
2025-05-30,4.9,4.9,4.9,exact
2025-06-03,4.9,4.9,4.9,exact
2025-06-04,4.9,4.9,4.9,exact
2025-06-05,4.9,4.9,4.9,exact
2025-06-06,4.9,4.9,4.9,exact
2025-06-09,4.9,4.9,4.9,exact
2025-06-10,4.9,4.9,4.9,exact
2025-06-11,,4.9,5.0,range
2025-06-12,5.0,5.0,5.0,derived
2025-06-13,5.0,5.0,5.0,exact
2025-06-16,5.0,5.0,5.0,exact
2025-06-17,5.0,5.0,5.0,exact
2025-06-18,5.0,5.0,5.0,exact
2025-06-19,5.0,5.0,5.0,exact
2025-06-20,5.0,5.0,5.0,exact
2025-06-23,5.0,5.0,5.0,exact
2025-06-24,4.9,4.9,4.9,exact
2025-06-25,4.9,4.9,4.9,exact
2025-06-26,4.9,4.9,4.9,exact
2025-06-27,4.9,4.9,4.9,exact
2025-06-30,4.9,4.9,4.9,exact
2025-07-01,4.9,4.9,4.9,exact
2025-07-02,4.9,4.9,4.9,exact
2025-07-03,4.9,4.9,4.9,exact
2025-07-04,4.9,4.9,4.9,exact
2025-07-07,4.9,4.9,4.9,exact
2025-07-08,4.9,4.9,4.9,exact
2025-07-09,4.9,4.9,4.9,exact
2025-07-10,4.9,4.9,4.9,exact
2025-07-11,4.9,4.9,4.9,exact
2025-07-14,4.9,4.9,4.9,exact
2025-07-15,4.9,4.9,4.9,exact
2025-07-16,4.8,4.8,4.8,exact
2025-07-17,4.8,4.8,4.8,exact
2025-07-18,4.8,4.8,4.8,exact
2025-07-21,4.8,4.8,4.8,exact
2025-07-22,4.7,4.7,4.7,exact
2025-07-23,4.7,4.7,4.7,exact
2025-07-24,4.7,4.7,4.7,exact
2025-07-25,4.7,4.7,4.7,exact
2025-07-28,4.7,4.7,4.7,exact
2025-07-29,4.6,4.6,4.6,exact
2025-07-30,4.6,4.6,4.6,exact
2025-07-31,4.6,4.6,4.6,exact
2025-08-01,4.7,4.7,4.7,exact
2025-08-04,4.7,4.7,4.7,exact
2025-08-05,4.7,4.7,4.7,exact
2025-08-06,4.6,4.6,4.6,exact
2025-08-07,4.6,4.6,4.6,exact
2025-08-08,4.6,4.6,4.6,exact
2025-08-11,4.6,4.6,4.6,exact
2025-08-12,4.6,4.6,4.6,exact
2025-08-13,4.6,4.6,4.6,exact
2025-08-14,4.6,4.6,4.6,exact
2025-08-15,4.6,4.6,4.6,exact
2025-08-18,4.5,4.5,4.5,exact
2025-08-19,4.5,4.5,4.5,exact
2025-08-20,4.5,4.5,4.5,exact
2025-08-21,4.5,4.5,4.5,exact
2025-08-22,4.5,4.5,4.5,exact
2025-08-25,4.5,4.5,4.5,exact
2025-08-26,,,,unresolved
2025-08-27,4.4,4.4,4.4,exact
2025-08-28,4.4,4.4,4.4,exact
2025-08-29,4.4,4.4,4.4,exact
2025-09-01,4.4,4.4,4.4,exact
2025-09-02,4.3,4.3,4.3,exact
2025-09-03,4.3,4.3,4.3,exact
2025-09-04,4.4,4.4,4.4,exact
2025-09-05,4.3,4.3,4.3,exact
2025-09-08,4.3,4.3,4.3,exact
2025-09-09,4.3,4.3,4.3,exact
2025-09-10,4.3,4.3,4.3,exact
2025-09-11,4.2,4.2,4.2,exact
2025-09-12,4.2,4.2,4.2,exact
2025-09-15,4.2,4.2,4.2,exact
2025-09-16,4.2,4.2,4.2,exact
2025-09-17,4.2,4.2,4.2,exact
2025-09-18,4.2,4.2,4.2,exact
2025-09-19,4.2,4.2,4.2,exact
2025-09-22,4.2,4.2,4.2,exact
2025-09-23,4.2,4.2,4.2,exact
2025-09-24,4.2,4.2,4.2,exact
2025-09-25,4.2,4.2,4.2,exact
2025-09-26,4.2,4.2,4.2,exact
2025-09-29,4.2,4.2,4.2,exact
2025-09-30,4.1,4.1,4.1,exact
2025-10-09,4.1,4.1,4.1,exact
2025-10-10,4.1,4.1,4.1,exact
2025-10-13,4.2,4.2,4.2,exact
2025-10-14,4.2,4.2,4.2,exact
2025-10-15,4.2,4.2,4.2,exact
2025-10-16,4.2,4.2,4.2,exact
2025-10-17,4.3,4.3,4.3,exact
2025-10-20,4.3,4.3,4.3,exact
2025-10-21,4.2,4.2,4.2,exact
2025-10-22,4.2,4.2,4.2,exact
2025-10-23,4.2,4.2,4.2,exact
2025-10-24,4.2,4.2,4.2,exact
2025-10-27,4.1,4.1,4.1,exact
2025-10-28,4.1,4.1,4.1,exact
2025-10-29,4.1,4.1,4.1,exact
2025-10-30,4.1,4.1,4.1,exact
2025-10-31,4.1,4.1,4.1,exact
2025-11-03,4.1,4.1,4.1,exact
2025-11-04,4.2,4.2,4.2,exact
2025-11-05,4.2,4.2,4.2,exact
2025-11-06,4.1,4.1,4.1,exact
2025-11-07,4.1,4.1,4.1,exact
2025-11-10,4.1,4.1,4.1,exact
2025-11-11,4.1,4.1,4.1,exact
2025-11-12,4.1,4.1,4.1,exact
2025-11-13,4.1,4.1,4.1,exact
2025-11-14,4.1,4.1,4.1,exact
2025-11-17,4.1,4.1,4.1,exact
2025-11-18,4.2,4.2,4.2,exact
2025-11-19,4.2,4.2,4.2,exact
2025-11-20,4.2,4.2,4.2,exact
2025-11-21,4.4,4.4,4.4,exact
2025-11-24,4.4,4.4,4.4,exact
2025-11-25,4.3,4.3,4.3,exact
2025-11-26,4.3,4.3,4.3,exact
2025-11-27,4.3,4.3,4.3,exact
2025-11-28,4.2,4.2,4.2,exact
2025-12-01,4.2,4.2,4.2,exact
2025-12-02,4.2,4.2,4.2,exact
2025-12-03,4.3,4.3,4.3,exact
2025-12-04,4.3,4.3,4.3,exact
2025-12-05,4.2,4.2,4.2,exact
2025-12-08,4.2,4.2,4.2,exact
2025-12-09,4.2,4.2,4.2,exact
2025-12-10,4.2,4.2,4.2,exact
2025-12-11,4.2,4.2,4.2,exact
2025-12-12,4.2,4.2,4.2,exact
2025-12-15,4.2,4.2,4.2,exact
2025-12-16,4.3,4.3,4.3,exact
2025-12-17,4.2,4.2,4.2,exact
2025-12-18,4.2,4.2,4.2,exact
2025-12-19,4.2,4.2,4.2,exact
2025-12-22,4.2,4.2,4.2,exact
2025-12-23,4.2,4.2,4.2,exact
2025-12-24,4.1,4.1,4.1,exact
2025-12-25,4.1,4.1,4.1,exact
2025-12-26,4.1,4.1,4.1,exact
2025-12-29,4.1,4.1,4.1,exact
2025-12-30,4.1,4.1,4.1,exact
2025-12-31,4.1,4.1,4.1,exact
